Zone;Indiv;2012;2011;2010;2009;2008;2007
2;373;3.2;6.3;8.7;4.8;5.1;5.1
2;379;5.5;5.1;4.1;7.8;12.5;7.3
2;383;4.3;6.0;5.9;9.7;6.5;7.3
2;389;4.9;3.2;4.2;4.1;7.6;12.3
2;390;3.0;3.5;3.8;4.7;6.2;3.5
2;395;6.8;3.7;3.7;3.6;4.8;5.3
2;396;2.7;3.5;3.4;3.7;3.9;5.2
2;408;7.4;6.9;3.5;4.9;5.4;3.4
2;412;5.2;4.2;2.8;4.5;6.7;4.6
2;421;2.6;3.5;4.8;5.0;5.0;6.4
2;425;5.9;4.4;4.2;5.8;6.1;4.4
2;429;3.9;5.5;5.7;5.9;8.5;6.2
2;431;4.9;3.5;4.9;5.4;5.9;3.5
2;442;4.2;4.7;5.6;8.4;9.1;4.5
2;444;5.4;4.6;3.2;3.9;3.6;6.7
3;447;5.6;4.9;4.3;5.4;3.8;5.6
3;458;9.4;7.2;5.4;6.1;8.6;5.4
3;464;5.4;6.4;5.0;7.0;8.9;8.4
3;486;5.9;6.4;4.1;4.8;4.7;7.1
3;512;4.0;5.6;3.1;4.4;8.1;6.3
3;530;5.7;6.9;3.6;4.5;11.4;9.2
3;534;5.9;4.7;2.9;7.1;6.0;6.6
3;538;5.4;5.3;4.3;8.5;10.5;6.9
3;542;5.2;3.7;5.9;3.1;3.3;2.6
3;549;4.9;7.4;4.4;5.8;5.6;4.5
3;569;5.6;5.6;5.5;5.4;5.5;3.4
3;572;11.1;7.8;8.1;8.0;8.1;5.1
3;577;5.5;3.4;5.9;8.4;9.4;4.1
3;581;5.3;5.6;3.7;6.3;6.9;6.0
3;584;5.3;5.2;4.0;5.1;5.8;4.8
3;597;7.4;6.0;5.1;4.4;5.9;6.9
3;616;5.3;6.8;3.7;6.1;8.1;7.0
3;647;7.3;7.2;4.0;6.9;6.9;8.1
3;660;5.6;6.0;4.1;5.2;4.6;5.9
4;591;3.0;9.0;4.1;5.8;8.9;4.5
4;595;7.8;7.5;4.0;5.3;6.5;7.1
4;603;5.4;3.2;2.3;3.2;3.8;2.5
4;612;5.8;3.4;4.9;7.2;5.7;4.6
4;618;3.5;3.4;2.2;4.1;5.5;4.1
4;619;4.7;8.4;2.5;4.2;7.8;5.7
4;623;6.8;5.2;3.4;4.4;7.5;5.4
4;632;5.8;6.1;5.5;6.1;6.5;6.5
4;641;4.7;5.6;4.0;7.5;11.2;5.1
4;645;7.2;7.0;5.8;4.5;8.8;5.3
4;646;6.8;7.8;5.2;4.1;7.0;11.5
4;648;8.4;8.0;4.7;6.1;8.4;9.9
4;654;8.2;9.1;6.6;6.9;8.4;7.5
4;657;3.5;7.0;3.9;7.4;11.3;3.9
4;660;4.1;6.7;3.4;6.7;8.8;4.9
4;661;7.9;10.4;4.9;5.3;8.1;7.4
4;663;5.8;6.3;4.9;7.5;8.6;3.7
4;677;5.1;4.5;4.3;3.4;5.9;3.3
4;678;7.9;4.6;4.4;8.2;3.7;3.6
4;682;5.2;4.8;4.3;7.9;6.0;4.2
5;1;7.5;4.5;4.8;3.6;5.7;4.5
5;37;5.0;4.5;2.9;5.0;4.6;4.6
5;38;6.0;3.4;3.5;4.9;5.8;5.4
5;41;6.9;5.5;2.5;3.4;3.9;1.2
5;49;4.1;6.2;4.7;5.9;2.4;3.8
5;64;5.1;4.1;2.7;3.9;4.7;4.8
5;71;5.3;3.9;3.7;3.9;4.7;4.3
5;72;3.5;4.1;5.8;5.1;8.7;6.2
5;85;4.8;4.5;6.6;3.4;3.6;3.0
5;88;3.0;3.1;2.5;2.6;4.8;3.9
5;101;8.0;7.5;2.8;3.5;5.6;3.4
5;114;4.9;3.8;3.8;3.5;4.6;4.6
5;120;3.0;4.2;3.2;4.0;4.3;4.3
5;126;4.4;4.5;3.0;4.7;3.8;5.0
5;145;4.5;3.1;3.3;4.4;4.7;4.4
